group,status,target_resolution
10223226,copied_uniform,
11193525+09555691,copied_uniform,
154045124004586,copied_uniform,
173554583350564,copied_uniform,
18peg,copied_uniform,
2001nn,copied_uniform,
2003nn,degraded_mixed,19540.0
2523228,copied_uniform,
28cma,copied_uniform,
2a1822371,copied_uniform,
2massj180820025104378,copied_uniform,
2massj230712163157380,copied_uniform,
4vesta,degraded_mixed,65030.0
51oph,copied_uniform,
58aquilae,copied_uniform,
64psc,copied_uniform,
9sgr,copied_uniform,
abdor,copied_uniform,
aldebaran,copied_uniform,
alphavir,degraded_mixed,71050.0
asasj1522050628.3,copied_uniform,
azv83,copied_uniform,
b001137,copied_uniform,
bd-084501,degraded_mixed,40970.0
betacmi,copied_uniform,
betpic,copied_uniform,
bkeri,copied_uniform,
blmc22,copied_uniform,
blmc24,copied_uniform,
blmc25,copied_uniform,
blmc27,copied_uniform,
bomic,copied_uniform,
bpsbs169810016,copied_uniform,
bpscs221880033,copied_uniform,
bpscs2289074,copied_uniform,
bptau,copied_uniform,
bsc5141telluric,copied_uniform,
bsc5625telluric,copied_uniform,
bsc7593telluric,copied_uniform,
cd-2417504,copied_uniform,
cd-32,copied_uniform,
cd-433604,degraded_mixed,39090.0
cd-436810,degraded_mixed,53750.0
centerslit#34and#23,copied_uniform,
cenx3,copied_uniform,
cep227,copied_uniform,
cep506,copied_uniform,
cep562,copied_uniform,
chicap,degraded_mixed,40970.0
clmelotte22akii465,copied_uniform,
corot2gsc0046501282,copied_uniform,
crtsj053951.1492541,copied_uniform,
crtsj080615.0015735,copied_uniform,
crtsj145033.4263722,copied_uniform,
cs22877001,copied_uniform,
cs22968014,copied_uniform,
cs29497004,degraded_mixed,21800.0
cs29527015,degraded_mixed,40970.0
cvcha,degraded_mixed,53750.0
deltasco,degraded_mixed,40970.0
drhya,copied_uniform,
drtau,copied_uniform,
dzcha,copied_uniform,
ec123003224,copied_uniform,
ec143291625,degraded_mixed,19540.0
ec201174014,degraded_mixed,40970.0
efhya,copied_uniform,
eg21,degraded_mixed,19540.0
eg274,degraded_mixed,19540.0
eicha,copied_uniform,
eso552,copied_uniform,
etacarstar,copied_uniform,
ezori,copied_uniform,
feige110,degraded_mixed,19540.0
g0945-22.153,copied_uniform,
g1854,copied_uniform,
galexj081110.8+273420,copied_uniform,
gr8s2,copied_uniform,
grb,degraded_mixed,40970.0
gsc62110111,copied_uniform,
gsc92391572,copied_uniform,
gsc94001663,copied_uniform,
hats10,copied_uniform,
hbc93275,copied_uniform,
hd100099,copied_uniform,
hd1001190,copied_uniform,
hd101191,copied_uniform,
hd101205,copied_uniform,
hd101413,copied_uniform,
hd101436,degraded_mixed,40970.0
hd101545b,copied_uniform,
hd106068,copied_uniform,
hd10638,copied_uniform,
hd106391,copied_uniform,
hd107146,copied_uniform,
hd110432,degraded_mixed,68040.0
hd111980,copied_uniform,
hd112272,degraded_mixed,65030.0
hd112842,copied_uniform,
hd115842,degraded_mixed,40970.0
hd11753,copied_uniform,
hd117880,copied_uniform,
hd119682,copied_uniform,
hd120710,degraded_mixed,49620.0
hd1228,copied_uniform,
hd124195,degraded_mixed,49620.0
hd124314,copied_uniform,
hd125823,degraded_mixed,65030.0
hd130095,degraded_mixed,40970.0
hd130298,copied_uniform,
hd130437,degraded_mixed,40970.0
hd133518,degraded_mixed,65030.0
hd137057,copied_uniform,
hd141569,degraded_mixed,58640.0
hd1448445.9,copied_uniform,
hd147165,degraded_mixed,53750.0
hd147888,copied_uniform,
hd148184,degraded_mixed,65030.0
hd148379,degraded_mixed,65030.0
hd148937,degraded_mixed,65030.0
hd149038,degraded_mixed,68040.0
hd149447,copied_uniform,
hd149757,degraded_mixed,49620.0
hd150136,degraded_mixed,53750.0
hd15130,copied_uniform,
hd152233,degraded_mixed,40970.0
hd152235,degraded_mixed,65030.0
hd152247,degraded_mixed,40970.0
hd152314,copied_uniform,
hd152478,degraded_mixed,40970.0
hd153295,copied_uniform,
hd153919,copied_uniform,
hd154368,degraded_mixed,49620.0
hd154811,copied_uniform,
hd154873,copied_uniform,
hd155885,degraded_mixed,39090.0
hd157038,degraded_mixed,65030.0
hd158681,copied_uniform,
hd159911,copied_uniform,
hd161056,degraded_mixed,68040.0
hd161103,copied_uniform,
hd162718,copied_uniform,
hd163745,degraded_mixed,40970.0
hd163800,copied_uniform,
hd164492c,copied_uniform,
hd164769,copied_uniform,
hd165921,degraded_mixed,19540.0
hd16673,copied_uniform,
hd167264,degraded_mixed,65030.0
hd167838,copied_uniform,
hd168075,copied_uniform,
hd168137,copied_uniform,
hd169454,degraded_mixed,68040.0
hd170740,degraded_mixed,68040.0
hd175640,degraded_mixed,40970.0
hd177451,copied_uniform,
hd180885,degraded_mixed,49620.0
hd183143,degraded_mixed,49620.0
hd184915,copied_uniform,
hd190470,copied_uniform,
hd191089,degraded_mixed,39090.0
hd193317,copied_uniform,
hd206778,degraded_mixed,19540.0
hd207278,degraded_mixed,39090.0
hd210121,copied_uniform,
hd217343,degraded_mixed,39090.0
hd217522,degraded_mixed,65030.0
hd22049,degraded_mixed,40970.0
hd222847tell,copied_uniform,
hd225253,copied_uniform,
hd23180,copied_uniform,
hd23642,copied_uniform,
hd24712,copied_uniform,
hd25457,degraded_mixed,39090.0
hd269698,copied_uniform,
hd269828,copied_uniform,
hd269956,copied_uniform,
hd27679,degraded_mixed,39090.0
hd30677,degraded_mixed,65030.0
hd308813,copied_uniform,
hd318052,copied_uniform,
hd323771,copied_uniform,
hd32964,copied_uniform,
hd33328,copied_uniform,
hd34364,copied_uniform,
hd35165,copied_uniform,
hd358,degraded_mixed,40970.0
hd36861,degraded_mixed,65030.0
hd36935,copied_uniform,
hd37055,copied_uniform,
hd38666,copied_uniform,
hd39060,degraded_mixed,40970.0
hd39802,copied_uniform,
hd39803,copied_uniform,
hd43285,degraded_mixed,40970.0
hd44996,copied_uniform,
hd45813,copied_uniform,
hd480,copied_uniform,
hd48915,copied_uniform,
hd49333,copied_uniform,
hd49798,degraded_mixed,19540.0
hd50241,copied_uniform,
hd51876,copied_uniform,
hd54662,degraded_mixed,40970.0
hd58343,degraded_mixed,40970.0
hd60498,copied_uniform,
hd60753,degraded_mixed,19540.0
hd62623,degraded_mixed,58640.0
hd6268,degraded_mixed,40970.0
hd67536,copied_uniform,
hd68273,copied_uniform,
hd68761,degraded_mixed,40970.0
hd68826,copied_uniform,
hd72127a,copied_uniform,
hd73256,degraded_mixed,68040.0
hd73882,degraded_mixed,53750.0
hd74272,copied_uniform,
hd74966,copied_uniform,
hd76131,copied_uniform,
hd76151,degraded_mixed,19540.0
hd78344,copied_uniform,
hd8291,degraded_mixed,19540.0
hd83650,copied_uniform,
hd90177,copied_uniform,
hd90264,degraded_mixed,65030.0
hd93129a,copied_uniform,
hd93129dic2,copied_uniform,
hd94910,degraded_mixed,65030.0
he00012340,degraded_mixed,40970.0
he02251912,degraded_mixed,19540.0
he02330343,degraded_mixed,40970.0
he0315+0000,degraded_mixed,21800.0
he03150118,degraded_mixed,21800.0
he03254033,degraded_mixed,19540.0
he03383945,degraded_mixed,21800.0
he04034129,copied_uniform,
he04101137,degraded_mixed,19540.0
he04302457,copied_uniform,
he05052806,degraded_mixed,40970.0
he05324503,degraded_mixed,19540.0
he09290424,degraded_mixed,19540.0
he09401050,copied_uniform,
he10470436,copied_uniform,
he10592735,degraded_mixed,19540.0
he11150631,degraded_mixed,19540.0
he11221648,degraded_mixed,31950.0
he13182111,degraded_mixed,19540.0
he13460427,copied_uniform,
he13460632,copied_uniform,
he13472457,degraded_mixed,40970.0
he21234446,copied_uniform,
he21353749,degraded_mixed,19540.0
he22172818,degraded_mixed,40970.0
he22524225,degraded_mixed,21800.0
he23275642,degraded_mixed,21800.0
he23474342,copied_uniform,
hip10258,copied_uniform,
hr,copied_uniform,
hr10,copied_uniform,
hr1996,degraded_mixed,19540.0
hr2181,degraded_mixed,40970.0
hr3239,degraded_mixed,40970.0
hr3476,degraded_mixed,40970.0
hr4355,copied_uniform,
hr4796,copied_uniform,
hr5027,copied_uniform,
hr5206,copied_uniform,
hr6215,copied_uniform,
hr6716,copied_uniform,
hr6788,degraded_mixed,40970.0
hr6993,copied_uniform,
hr7316,copied_uniform,
hr7355,degraded_mixed,49620.0
hr7596,degraded_mixed,19540.0
hr8087,copied_uniform,
hr9006,degraded_mixed,40970.0
hs1102+0934,degraded_mixed,19540.0
hs1140+2711,copied_uniform,
hs1334+0701,degraded_mixed,19540.0
hs1606+0153,degraded_mixed,19540.0
hz43a,copied_uniform,
ic1613,copied_uniform,
ic23910008,copied_uniform,
j0023+0307,copied_uniform,
j0026-3220a,copied_uniform,
j01513-7548,copied_uniform,
j0226-2857,degraded_mixed,36840.0
j02286-3625,copied_uniform,
j0247-25,copied_uniform,
j03154-5934,copied_uniform,
j03582-3609,copied_uniform,
j04330-2451,copied_uniform,
j050528.80-644609.2,copied_uniform,
j09000+0128,copied_uniform,
j101703355,copied_uniform,
j1358+0349,degraded_mixed,43980.0
j1430+0149,copied_uniform,
j183701+211314,copied_uniform,
j20222+0152,copied_uniform,
jl277,copied_uniform,
kvcen,copied_uniform,
lambdasco,copied_uniform,
lamvir,copied_uniform,
lcar,copied_uniform,
lmccep1347,copied_uniform,
lmcsc657364,copied_uniform,
lmcx3,degraded_mixed,21800.0
lmcx4,copied_uniform,
lp07630087,degraded_mixed,40970.0
lsiv14116,degraded_mixed,40970.0
lsv+2225,copied_uniform,
ltt3218,degraded_mixed,19540.0
ltt4816,degraded_mixed,40970.0
ltt7987,copied_uniform,
m15zng1,degraded_mixed,40970.0
ma931694,copied_uniform,
mct00001637,copied_uniform,
mct01462651,copied_uniform,
melnick34,degraded_mixed,49620.0
mld95lmc1546,copied_uniform,
mnlup,copied_uniform,
ngc6397t183,degraded_mixed,40970.0
ngc6752b2151,degraded_mixed,40970.0
novacen2013,copied_uniform,
novasco2024,degraded_mixed,40970.0
novasgr2,degraded_mixed,40970.0
oglegcv17,copied_uniform,
oglelmcecl21905,copied_uniform,
oglelmcecl33609,copied_uniform,
oglelmcrrlyr39548,copied_uniform,
oglerrii,copied_uniform,
olmc16070662,copied_uniform,
osmc03139376,copied_uniform,
pb5937,copied_uniform,
pb6148,copied_uniform,
pb6355,copied_uniform,
pb8783,copied_uniform,
pds110,copied_uniform,
pg0048+091,copied_uniform,
pg0232+095,copied_uniform,
pg1018047,copied_uniform,
pg1232136,copied_uniform,
pg1309078,copied_uniform,
pg1325+101,copied_uniform,
pg1514+034,copied_uniform,
pg2148+095,copied_uniform,
pg2226+094,copied_uniform,
pg2349+002,degraded_mixed,40970.0
pks023723,degraded_mixed,40970.0
pks2126158,copied_uniform,
pn2041+047,copied_uniform,
pn2119+226,degraded_mixed,19540.0
proximacen,copied_uniform,
psrj17405340,copied_uniform,
q0002422,degraded_mixed,40970.0
q0331451,copied_uniform,
q0420388,copied_uniform,
q0439433,copied_uniform,
q0453423,degraded_mixed,40970.0
q0913+072,copied_uniform,
q1157+014,degraded_mixed,36840.0
q1511+09,copied_uniform,
q16210042,copied_uniform,
qj23400053,copied_uniform,
qsvir,copied_uniform,
rcw797,copied_uniform,
rmc127,copied_uniform,
rmc40,copied_uniform,
rmc71,copied_uniform,
rnlmc2009,copied_uniform,
rotbonhd114886,copied_uniform,
rrcae,copied_uniform,
rsoph,degraded_mixed,19540.0
rulup,degraded_mixed,53750.0
rxj0911,copied_uniform,
rylup,copied_uniform,
sb744,copied_uniform,
scox1,degraded_mixed,40970.0
scra,degraded_mixed,40970.0
sdor,copied_uniform,
sdss1228+1040,degraded_mixed,39090.0
sdssj015133.91,copied_uniform,
sdssj0920+0238,copied_uniform,
sdssj092300.27,copied_uniform,
sdssj103556+064143,copied_uniform,
sdssj1352+0614,copied_uniform,
sdssj82053+0008,copied_uniform,
sk13,degraded_mixed,53750.0
sk18,degraded_mixed,53750.0
sk80,copied_uniform,
smcx1,copied_uniform,
sn,copied_uniform,
sn2024ggi,degraded_mixed,40970.0
sniaa,copied_uniform,
sniaepia,copied_uniform,
sniaepii,copied_uniform,
speedymic,copied_uniform,
suwt2,copied_uniform,
svhv1430,copied_uniform,
szpav,copied_uniform,
telluricmarhd103077,copied_uniform,
telluricnovhd24587,copied_uniform,
thetaaql,degraded_mixed,71050.0
tmon,copied_uniform,
too,degraded_mixed,19540.0
tooastroid,copied_uniform,
toobstarg,copied_uniform,
tr16112,degraded_mixed,71050.0
twa10,degraded_mixed,39090.0
twa11b,degraded_mixed,39090.0
twa20,copied_uniform,
twhya,copied_uniform,
tyc421-935-1,copied_uniform,
tyc6617-835-1,copied_uniform,
tyc7196-1656-1,copied_uniform,
tyc7833-1147-1,copied_uniform,
tyc8394-1331-1,copied_uniform,
tyc9151-303-1,copied_uniform,
ucac4024005294,copied_uniform,
uupav,copied_uniform,
uwcma,copied_uniform,
v1052cen,copied_uniform,
v1311ori,degraded_mixed,39090.0
v2291oph,copied_uniform,
v393sco,copied_uniform,
v426oph,copied_uniform,
v4641sgr,copied_uniform,
v529cen,copied_uniform,
v580cen,copied_uniform,
v582cen,copied_uniform,
v595cen,copied_uniform,
vbberi,copied_uniform,
vceher,copied_uniform,
vcvcha,copied_uniform,
vdktau,copied_uniform,
vega,degraded_mixed,71050.0
vfts779,copied_uniform,
vmttel,copied_uniform,
vrrleo,copied_uniform,
vrupsc,copied_uniform,
vrxeri,degraded_mixed,40970.0
vssleo,copied_uniform,
vsveri,copied_uniform,
vsxfor,copied_uniform,
vtsex,copied_uniform,
vtumus,copied_uniform,
vulep,copied_uniform,
vv753cen,copied_uniform,
vvind,copied_uniform,
vvzcha,copied_uniform,
vwscl,copied_uniform,
vwyant,copied_uniform,
vwzhya,copied_uniform,
vxari,copied_uniform,
vxzcet,degraded_mixed,40970.0
vxzgru,degraded_mixed,40970.0
vzcha,degraded_mixed,53750.0
walker67,copied_uniform,
wasp034621,copied_uniform,
wasp035831,copied_uniform,
wasp131,copied_uniform,
wasp162504,copied_uniform,
wasp210106,copied_uniform,
wasp232839,copied_uniform,
wasp31,copied_uniform,
wd0032317,degraded_mixed,19540.0
wd0037006,degraded_mixed,19540.0
wd0048202,degraded_mixed,19540.0
wd0137349,degraded_mixed,19540.0
wd0145,copied_uniform,
wd0320539,copied_uniform,
wd0322019,degraded_mixed,19540.0
wd0344+073,degraded_mixed,19540.0
wd0453295,degraded_mixed,19540.0
wd0810728,copied_uniform,
wd0830535,degraded_mixed,19540.0
wd0837+185,degraded_mixed,24810.0
wd1013050,degraded_mixed,19540.0
wd1124018,degraded_mixed,19540.0
wd1145+017,copied_uniform,
wd1148230,copied_uniform,
wd1541381,copied_uniform,
wd1824+040,copied_uniform,
wd1943+163,degraded_mixed,19540.0
wd2020425,degraded_mixed,19540.0
wd2032+188,copied_uniform,
wd2154512,degraded_mixed,19540.0
wd2200136,degraded_mixed,19540.0
wd2248504,degraded_mixed,19540.0
wd2330212,degraded_mixed,19540.0
wr11,copied_uniform,
wr20a,copied_uniform,
wr6,copied_uniform,
x1822371,degraded_mixed,40970.0
yzcmi,copied_uniform,
zetaoph,copied_uniform,
zetatau,copied_uniform,
